@relation sentiment
@attribute 0 string
@attribute 1 string
@attribute 2 {excited,joyful,natural,nervous,sad,angry}
@data
'ㅅㅣㄷㅐㅇ','ㅅㅣㄷㅐㅇ',angry
'ㅅㅣㄹㅓㄱㅡㄴㄷㅔㅅㅡㅌㅓㄷㅣㄸㅐㅁㅐㅊㅏㅁㄱㅗㅇㅣㅅㄴㅡㄴ','ㄱㅓㅇㅑㄱㅓㄷㅏ',angry
'ㅅㅣㅂㅣㄱㅓㄹㅁㅏ','ㅅㅣㅂㅣㄱㅓㄹㄷㅏ',angry
'ㅅㅣㅍㅏㄹㅇㅛㄱ','ㅇㅛㄱㄴㅏㅇㅗㄷㅏ',angry
'ㅅㅣㅎㅓㅁㅁㅏㅇ','ㅁㅏㅇㅎㅏㄷㅏ',angry
'ㅅㅣㅎㅓㅁ','ㅅㅣㅎㅓㅁㅆㅏㄷㅏ',angry
'ㅅㅣㄹㅇㅓㅂㄹㅠㄹ','ㅈㅗㄴㄴㅏㄴㅗㅍ',angry
'ㅅㅣㅀ!','ㅅㅣㅀㄷㅏ',angry
'ㅅㅣㅁㅅㅜㄹ','ㅅㅣㅁㅅㅜㄹ',angry
'ㅆㅏㄱㅐㅃㅜㄹ','ㅆㅏㄷㅏ',angry
'ㅆㅏㄷㅐㅁㅏㅈ','ㅅㅣㅍㄷㅏ',angry
'ㅆㅏㄷㅑㅂ','ㅆㅏㄷㅑㅂ',angry
'ㅆㅏㅇㅜ','ㅆㅏㅇㅜㄷㅏ',angry
'ㅆㅏㅇㅜㅁㅏ','ㅆㅏㅇㅜㄷㅏ',angry
'ㅆㅏㅇㅜㅁ','ㄷㅟㅈㅣㄷㅏ',angry
'ㅆㅏㅇㄴㅗㅁ','ㅆㅏㅇㄴㅗㅁ',angry
'ㅆㅓㄱㅇㅡㄹㄴㅗㅁ','ㅆㅓㄱ',angry
'ㅆㅞㅅㅇㅣㅇㅑㅇ','ㅆㅞㅅㅇㅣㅇㅑㅇ',angry
'ㅆㅡㄹㅔㄱㅣ','ㅆㅡㄹㅔㄱㅣ',angry
